problem,module,changed_param,config_name,result_file,status,objective_value,solution_Z,runtime_pipeline,runtime_total,changed_count,changed_param_path,base_value,param_value,config_file,rank_in_problem_module_param
micp1,bias,,bias_reward_step_0.1,output\param_comp\bias\bias_reward_step_0.1__problem_micp_1.json,feasible,5757.816667,5757.816667,125.30262660980225,125.30262660980225,0,,,,D:\codes\Python\CIC\config\bias\bias_reward_step_0.1.json,1.0
micp1,bias,elite_reward_step,bias_elite_reward_step_0.02,output\param_comp\bias\bias_elite_reward_step_0.02__problem_micp_1.json,feasible,5757.816667,5757.816667,165.32875323295593,165.32875323295593,1,iterative_config.bias_update_config.elite_reward_step,0.05,0.02,D:\codes\Python\CIC\config\bias\bias_elite_reward_step_0.02.json,1.0
micp1,bias,pair_penalty_step,bias_pair_penalty_step_0.3,output\param_comp\bias\bias_pair_penalty_step_0.3__problem_micp_1.json,feasible,5757.816667,5757.816667,127.29815793037415,127.29815793037415,1,iterative_config.bias_update_config.pair_penalty_step,0.15,0.3,D:\codes\Python\CIC\config\bias\bias_pair_penalty_step_0.3.json,1.0
micp1,bias,penalty_step,bias_penalty_step_0.1,output\param_comp\bias\bias_penalty_step_0.1__problem_micp_1.json,feasible,5757.816667,5757.816667,125.78882646560669,125.78882646560669,1,iterative_config.bias_update_config.penalty_step,0.2,0.1,D:\codes\Python\CIC\config\bias\bias_penalty_step_0.1.json,1.0
micp1,bias,reward_step,bias_reward_step_0.05,output\param_comp\bias\bias_reward_step_0.05__problem_micp_1.json,feasible,5757.816667,5757.816667,126.12160229682922,126.12160229682922,1,iterative_config.bias_update_config.reward_step,0.1,0.05,D:\codes\Python\CIC\config\bias\bias_reward_step_0.05.json,1.0
micp1,candidate,,candidate_min_hamming_distance_2,output\param_comp\candidate\candidate_min_hamming_distance_2__problem_micp_1.json,feasible,5757.816667,5757.816667,125.0075843334198,125.0075843334198,0,,,,D:\codes\Python\CIC\config\candidate\candidate_min_hamming_distance_2.json,1.0
micp1,candidate,far_bonus,candidate_far_bonus_0.0,output\param_comp\candidate\candidate_far_bonus_0.0__problem_micp_1.json,feasible,5757.816667,5757.816667,157.80167508125305,157.80167508125305,1,iterative_config.candidate_config.far_bonus,0.02,0,D:\codes\Python\CIC\config\candidate\candidate_far_bonus_0.0.json,1.0
micp1,candidate,min_far_candidates,candidate_min_far_candidates_4,output\param_comp\candidate\candidate_min_far_candidates_4__problem_micp_1.json,feasible,5757.816667,5757.816667,127.15869140625,127.15869140625,1,iterative_config.candidate_config.min_far_candidates,2,4,D:\codes\Python\CIC\config\candidate\candidate_min_far_candidates_4.json,1.0
micp1,candidate,min_hamming_distance,candidate_min_hamming_distance_1,output\param_comp\candidate\candidate_min_hamming_distance_1__problem_micp_1.json,feasible,5757.816667,5757.816667,128.51203870773315,128.51203870773315,1,iterative_config.candidate_config.min_hamming_distance,2,1,D:\codes\Python\CIC\config\candidate\candidate_min_hamming_distance_1.json,1.0
micp1,candidate,objective_bonus,candidate_objective_bonus_0.01,output\param_comp\candidate\candidate_objective_bonus_0.01__problem_micp_1.json,feasible,5757.816667,5757.816667,134.96623063087463,134.96623063087463,1,iterative_config.candidate_config.objective_bonus,0.05,0.01,D:\codes\Python\CIC\config\candidate\candidate_objective_bonus_0.01.json,1.0
micp1,candidate,top_k,candidate_top_k_12,output\param_comp\candidate\candidate_top_k_12__problem_micp_1.json,feasible,5757.816667,5757.816667,167.3584177494049,167.3584177494049,1,iterative_config.candidate_config.top_k,8,12,D:\codes\Python\CIC\config\candidate\candidate_top_k_12.json,1.0
micp1,local,,local_max_start_points_3,output\param_comp\local\local_max_start_points_3__problem_micp_1.json,feasible,5757.816667,5757.816667,131.1965982913971,131.1965982913971,0,,,,D:\codes\Python\CIC\config\local\local_max_start_points_3.json,1.0
micp1,local,max_iter,local_max_iter_50,output\param_comp\local\local_max_iter_50__problem_micp_1.json,feasible,5757.816667,5757.816667,131.62921261787415,131.62921261787415,1,iterative_config.local_refine_config.max_iter,20,50,D:\codes\Python\CIC\config\local\local_max_iter_50.json,1.0
micp1,local,max_start_points,local_max_start_points_1,output\param_comp\local\local_max_start_points_1__problem_micp_1.json,feasible,5757.816667,5757.816667,131.61120057106018,131.61120057106018,1,iterative_config.local_refine_config.max_start_points,3,1,D:\codes\Python\CIC\config\local\local_max_start_points_1.json,1.0
