module,problem,config_name,result_file,status,objective_value,solution_Z,runtime_pipeline,runtime_total,changed_count,changed_param_path,changed_param,base_value,param_value,config_file
bias,micp1,bias_elite_reward_step_0.05,output\param_comp\bias\bias_elite_reward_step_0.05__problem_micp_1.json,feasible,5757.816667,5757.816667,135.32092595100403,135.32092595100403,0,,,,,D:\codes\Python\CIC\config\bias\bias_elite_reward_step_0.05.json
bias,micp1,bias_pair_penalty_step_0.15,output\param_comp\bias\bias_pair_penalty_step_0.15__problem_micp_1.json,feasible,5757.816667,5757.816667,170.8260521888733,170.8260521888733,0,,,,,D:\codes\Python\CIC\config\bias\bias_pair_penalty_step_0.15.json
bias,micp1,bias_penalty_step_0.2,output\param_comp\bias\bias_penalty_step_0.2__problem_micp_1.json,feasible,5757.816667,5757.816667,127.48894762992859,127.48894762992859,0,,,,,D:\codes\Python\CIC\config\bias\bias_penalty_step_0.2.json
bias,micp1,bias_reward_step_0.1,output\param_comp\bias\bias_reward_step_0.1__problem_micp_1.json,feasible,5757.816667,5757.816667,125.30262660980225,125.30262660980225,0,,,,,D:\codes\Python\CIC\config\bias\bias_reward_step_0.1.json
bias,micp1,bias_elite_reward_step_0.02,output\param_comp\bias\bias_elite_reward_step_0.02__problem_micp_1.json,feasible,5757.816667,5757.816667,165.32875323295593,165.32875323295593,1,iterative_config.bias_update_config.elite_reward_step,elite_reward_step,0.05,0.02,D:\codes\Python\CIC\config\bias\bias_elite_reward_step_0.02.json
bias,micp1,bias_elite_reward_step_0.1,output\param_comp\bias\bias_elite_reward_step_0.1__problem_micp_1.json,feasible,5757.816667,5757.816667,174.10489583015442,174.10489583015442,1,iterative_config.bias_update_config.elite_reward_step,elite_reward_step,0.05,0.1,D:\codes\Python\CIC\config\bias\bias_elite_reward_step_0.1.json
bias,micp1,bias_pair_penalty_step_0.1,output\param_comp\bias\bias_pair_penalty_step_0.1__problem_micp_1.json,feasible,5757.816667,5757.816667,178.02469635009766,178.02469635009766,1,iterative_config.bias_update_config.pair_penalty_step,pair_penalty_step,0.15,0.1,D:\codes\Python\CIC\config\bias\bias_pair_penalty_step_0.1.json
bias,micp1,bias_pair_penalty_step_0.3,output\param_comp\bias\bias_pair_penalty_step_0.3__problem_micp_1.json,feasible,5757.816667,5757.816667,127.29815793037415,127.29815793037415,1,iterative_config.bias_update_config.pair_penalty_step,pair_penalty_step,0.15,0.3,D:\codes\Python\CIC\config\bias\bias_pair_penalty_step_0.3.json
bias,micp1,bias_penalty_step_0.1,output\param_comp\bias\bias_penalty_step_0.1__problem_micp_1.json,feasible,5757.816667,5757.816667,125.78882646560669,125.78882646560669,1,iterative_config.bias_update_config.penalty_step,penalty_step,0.2,0.1,D:\codes\Python\CIC\config\bias\bias_penalty_step_0.1.json
bias,micp1,bias_penalty_step_0.3,output\param_comp\bias\bias_penalty_step_0.3__problem_micp_1.json,feasible,5757.816667,5757.816667,127.44328832626343,127.44328832626343,1,iterative_config.bias_update_config.penalty_step,penalty_step,0.2,0.3,D:\codes\Python\CIC\config\bias\bias_penalty_step_0.3.json
bias,micp1,bias_reward_step_0.05,output\param_comp\bias\bias_reward_step_0.05__problem_micp_1.json,feasible,5757.816667,5757.816667,126.12160229682922,126.12160229682922,1,iterative_config.bias_update_config.reward_step,reward_step,0.1,0.05,D:\codes\Python\CIC\config\bias\bias_reward_step_0.05.json
